Name,# Results,# Displayed,Correct Rank,Total Time,Fix Time,Fix Count,Seede Count,# Checked
BitCount,1,1,1,1109,63,1,68,51
BreadthFirstSearch,6,6,1,6684,1445,11,42508,124
BucketSort,1,1,1,3099,730,8,21733,32
DepthFirstSearch,4,4,4,3627,801,6,10169,75
DetectCycle,9,9,1,2747,97,4,390,71
FindFirstInSorted,1,1,1,6268,755,6,60257,101
FindInSorted,27,27,-1,2947,0,0,0,98
Flatten,0,0,-1,2173,0,0,0,19
Gcd,1,1,1,1807,124,1,97,35
GetFactors,2,2,-1,3539,0,0,0,80
Hanoi,3,3,1,4920,567,14,9655,165
IsValidParenthesization,4,4,-1,2364,0,0,0,52
KHeapSort,0,0,-1,3018,0,0,0,54
Knapsack,1,1,1,5681,1021,20,67129,167
Kth,0,0,-1,8188,0,0,0,3
LcsLength,1,1,-1,9036,0,0,0,135
Levenshtein,0,0,-1,12447,0,0,0,30
Lis,8,8,-1,11031,0,0,0,129
LongestCommonSubsequence,2,2,2,7180,3758,29,373139,83
MaxSublistSum,0,0,-1,1805,0,0,0,31
MergeSort,0,0,-1,1991,0,0,0,15
MinimumSpanningTree,0,0,-1,4161,0,0,0,96
NextPalindrome,0,0,-1,4054,0,0,0,90
NextPermutation,2,2,2,28279,154,3,3559,143
Pascal,1,1,1,10963,868,22,52394,131
PossibleChange,1,1,1,2054,181,5,3120,24
PowerSet,0,0,-1,20864,0,0,0,82
QuickSort,2,2,1,5657,983,15,157357,182
ReverseLinkedList,1,1,-1,5158,0,0,0,89
RpnEval,1,1,1,5315,998,11,8771,107
ShortestPathLength,0,0,-1,16249,0,0,0,413
ShortestPathLengths,1,1,-1,7499,0,0,0,53
ShortestPaths,0,0,-1,8754,0,0,0,154
ShuntingYard,0,0,-1,4668,0,0,0,89
Sieve,1,1,1,3702,1162,11,45542,51
Sqrt,0,0,-1,3456,0,0,0,30
Subsequences,0,0,-1,5249,0,0,0,122
ToBase,0,0,-1,3834,0,0,0,40
TopologicalOrdering,2,2,1,23629,2495,24,74505,157
Wrap,2,2,-1,3981,0,0,0,66
Chart01,1,1,1,39735,10382,30,105152,136
Chart03,0,0,-1,43153,0,0,0,142
Chart09,3,3,-1,16283,0,0,0,77
Chart11,2,2,2,31169,8050,35,35720,210
Chart12,1,1,1,44968,6873,17,315938,124
Chart20,1,1,1,8703,595,2,393,14
Chart14A,2,2,1,253358,5694,4,194,597
Chart25A,11,11,2,129403,3482,4,2196,105
Closure38,0,0,-1,41946,0,0,0,505
Closure52,0,0,-1,39426,0,0,0,489
Closure57,0,0,-1,11318,0,0,0,0
Closure62,4,4,1,29768,503,15,11172,423
Closure65,0,0,-1,8983,0,0,0,0
Closure73,0,0,-1,37415,0,0,0,506
Closure104,2,2,-1,123239,0,0,0,375
Closure123,0,0,-1,9594,0,0,0,0
Lang06,2,2,1,12116,7319,31,355343,66
Lang21,2,2,-1,10664,0,0,0,159
Lang24,4,4,-1,9737,0,0,0,116
Lang33,3,3,2,7260,2343,4,149,45
Lang47A,5,5,1,5058,505,2,31,34
Lang59,1,1,1,7889,3229,33,1316,77
Lang61,0,0,-1,30921,0,0,0,316
Math41,8,8,-1,7727,0,0,0,124
Math58,0,0,-1,13476,0,0,0,32
Math59,0,0,-1,1676,0,0,0,0
Math69,2,2,1,48699,41619,143,1477984,184
Math75,8,8,1,26651,4807,31,54885,239
Math82,1,1,1,179729,39785,21,643677,103
Math94,14,14,1,20514,542,1,171,334
Math96,8,8,-1,24019,0,0,0,357
Math104,0,0,-1,2604,0,0,0,0
Math105,10,10,-1,4171,0,0,0,34
Math02,0,0,-1,4231,0,0,0,0
Math05,13,13,4,24617,5982,63,1743,418
Math11,1,1,1,34016,7823,2,53576,28
Math22A,0,0,-1,10966,0,0,0,90
Math27,0,0,-1,30806,0,0,0,473
Math30,49,49,-1,54384,0,0,0,411
Math32,2,2,-1,18184,0,0,0,104
Math35A,0,0,-1,3042,0,0,0,0
Math34,0,0,-1,5309,0,0,0,0
Time04,49,49,-1,78141,0,0,0,316
Time16,0,0,-1,4926,0,0,0,0
Time19,5,5,3,54121,27807,18,6546,345
Mockito26,0,0,-1,7732,0,0,0,32
Mockito38,5,5,1,8501,323,2,264,67
